単位[MW平均],,,供給力
DATE,TIME,エリア需要,原子力,火力(LNG),火力(石炭),火力(石油),火力(その他),水力,地熱,バイオマス,太陽光発電実績,太陽光出力制御量,風力発電実績,風力出力制御量,揚水,蓄電池,連系線,その他,合計
2026/5/4,23:00,21540,1314,7782,3361,104,933,1497,0,497,0,0,327,0,299,7,5181,238,21540
2026/5/4,23:30,20870,1314,6923,3252,104,897,1479,0,497,0,0,324,0,606,7,5212,255,20870
2026/5/5,0:00,20214,1314,6306,3136,104,962,1372,0,496,0,0,356,0,491,2,5420,255,20214
2026/5/5,0:30,19453,1314,6162,2945,102,981,1367,0,494,0,0,367,0,258,2,5164,295,19451
2026/5/5,1:00,19042,1315,5725,2844,102,978,1362,0,495,0,0,288,0,211,0,5408,314,19042
2026/5/5,1:30,18809,1315,6037,2828,102,991,1360,0,496,0,0,336,0,101,0,4922,322,18810
2026/5/5,2:00,18889,1315,5734,2830,103,957,1358,0,495,0,0,302,0,98,0,5366,330,18888
2026/5/5,2:30,19010,1315,5797,2795,103,955,1357,0,495,0,0,262,0,151,0,5454,326,19010
2026/5/5,3:00,19312,1314,6357,2707,103,926,1351,0,498,0,0,295,0,222,0,5193,346,19312
2026/5/5,3:30,19478,1315,6934,2637,103,951,1351,0,497,0,0,307,0,44,0,5010,330,19479
2026/5/5,4:00,19576,1314,7168,2549,103,968,1407,0,497,0,0,300,0,42,2,4900,326,19576
2026/5/5,4:30,19719,1314,7506,2345,103,1013,1403,0,493,0,0,270,0,326,4,4640,302,19719
2026/5/5,5:00,19451,1315,7359,2246,103,1040,1405,0,491,147,0,268,0,484,0,4303,291,19452
2026/5/5,5:30,19073,1315,7220,1911,103,1031,1416,0,491,916,0,234,0,581,1,3591,264,19074
2026/5/5,6:00,18708,1315,6230,1779,103,1035,1427,0,490,2152,0,238,0,-413,0,4116,236,18708
2026/5/5,6:30,18545,1314,6448,1745,104,1017,1455,0,485,3943,0,200,0,-1840,0,3402,272,18545
2026/5/5,7:00,19057,1315,7401,1707,103,993,1458,0,480,5067,1135,93,80,-3117,0,3232,325,19057
2026/5/5,7:30,20382,1314,6422,1708,89,1024,1461,0,479,6518,1953,0,198,-4044,1,5124,286,20382
2026/5/5,8:00,20121,1315,4990,1675,86,955,1471,0,442,6518,4045,0,264,-2270,1,4659,278,20120
2026/5/5,8:30,20880,1314,5096,1675,87,908,1472,0,441,7723,4706,0,246,-2642,1,4514,291,20880
2026/5/5,9:00,21653,1314,5267,1674,87,810,1450,0,440,8721,5221,0,189,-3102,1,4726,264,21652
